city,asn,announced_prefix,sub_prefix,origin_asn,starttime,endtime,full_peers_seeing
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-07-23T00:00:00,2022-07-26T23:59:59,357.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-07-27T00:00:00,2022-07-28T23:59:59,354.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-07-29T00:00:00,2022-08-09T23:59:59,364.17
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-08-10T00:00:00,2022-08-11T23:59:59,361.5
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-08-12T00:00:00,2022-08-13T23:59:59,356.17
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-08-14T00:00:00,2022-08-15T23:59:59,360.67
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-08-16T00:00:00,2022-09-28T23:59:59,358.17
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-09-29T00:00:00,2022-09-30T23:59:59,359.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-10-01T00:00:00,2022-10-02T23:59:59,355.67
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-10-03T00:00:00,2022-10-04T23:59:59,358.17
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-10-05T00:00:00,2022-10-08T23:59:59,360.0
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-10-09T00:00:00,2022-10-16T23:59:59,362.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-10-17T00:00:00,2022-10-18T23:59:59,365.17
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-10-19T00:00:00,2022-10-20T23:59:59,363.5
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-10-21T00:00:00,2022-10-22T23:59:59,367.17
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-10-23T00:00:00,2022-11-07T23:59:59,369.67
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-11-08T00:00:00,2022-11-13T23:59:59,372.67
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-11-14T00:00:00,2022-11-15T23:59:59,374.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-11-16T00:00:00,2022-11-23T23:59:59,378.5
