timestamp,datetime,period,city,matched_asns,as_path,as_path_length,sorm_ases,classification,prefixes,next_hop,origin,peer_as,peer_ip
1646208264,2022-03-02T08:04:24,kherson_dark_2022,Mariupol,AS6849,28186 → 7738 → 12956 → 174 → 6849 → 13053 → 13053 → 13053 → 13053 → 13053 → 13053,11,,neutral,213.156.64.0/19,187.16.219.51,IGP,28186,187.16.219.51
1646208264,2022-03-02T08:04:24,kherson_dark_2022,Mariupol,AS6849,28186 → 7738 → 12956 → 174 → 6849 → 13053 → 13053 → 13053 → 13053 → 13053 → 13053,11,,neutral,213.156.64.0/19,187.16.223.133,IGP,28186,187.16.223.133
1646208265,2022-03-02T08:04:25,kherson_dark_2022,Mariupol,AS6849,263237 → 16397 → 26615 → 6762 → 174 → 6849 → 13053,7,,neutral,213.156.73.0/24,187.16.222.45,IGP,263237,187.16.222.45
1646208266,2022-03-02T08:04:26,kherson_dark_2022,Mariupol,AS6849,23106 → 52320 → 2914 → 174 → 6849 → 13053,6,,neutral,213.156.73.0/24,187.16.217.110,IGP,23106,187.16.217.110
1646208266,2022-03-02T08:04:26,kherson_dark_2022,Mariupol,AS6849,267613 → 52320 → 2914 → 174 → 6849 → 13053,6,,neutral,213.156.73.0/24,187.16.220.80,IGP,267613,187.16.220.80
1646208272,2022-03-02T08:04:32,kherson_dark_2022,Mariupol,AS6849,52814 → 52579 → 10429 → 12956 → 174 → 6849 → 13053,7,,neutral,213.156.73.0/24,187.16.210.177,IGP,52814,187.16.210.177
1646208273,2022-03-02T08:04:33,kherson_dark_2022,Mariupol,AS6849,24482 → 6453 → 174 → 6849 → 13053,5,,neutral,213.156.73.0/24,187.16.208.144,IGP,24482,187.16.208.144
1646208273,2022-03-02T08:04:33,kherson_dark_2022,Mariupol,AS6849,24482 → 6453 → 174 → 6849 → 13053 → 13053 → 13053 → 13053 → 13053 → 13053,10,,neutral,213.156.64.0/19,187.16.208.144,IGP,24482,187.16.208.144
1646208273,2022-03-02T08:04:33,kherson_dark_2022,Mariupol,AS6849,28634 → 37468 → 174 → 3356 → 6849 → 13053,6,,neutral,213.156.73.0/24,187.16.216.131,IGP,28634,187.16.216.131
1646208273,2022-03-02T08:04:33,kherson_dark_2022,Mariupol,AS6849,28634 → 37468 → 174 → 3356 → 6849 → 13053,6,,neutral,213.156.73.0/24,187.16.216.209,IGP,28634,187.16.216.209
1646208273,2022-03-02T08:04:33,kherson_dark_2022,Mariupol,AS6849,13786 → 5511 → 174 → 6849 → 13053 → 13053 → 13053 → 13053 → 13053 → 13053,10,,neutral,213.156.64.0/19,187.16.217.161,IGP,13786,187.16.217.161
1646208273,2022-03-02T08:04:33,kherson_dark_2022,Mariupol,AS6849,13786 → 5511 → 174 → 6849 → 13053,5,,neutral,213.156.73.0/24,187.16.217.161,IGP,13786,187.16.217.161
1646208274,2022-03-02T08:04:34,kherson_dark_2022,Mariupol,AS6849,28186 → 7738 → 52320 → 6461 → 174 → 6849 → 13053 → 13053 → 13053 → 13053 → 13053 → 13053,12,,neutral,213.156.64.0/19,187.16.223.133,IGP,28186,187.16.223.133
1646208274,2022-03-02T08:04:34,kherson_dark_2022,Mariupol,AS6849,28186 → 7738 → 52320 → 2914 → 174 → 6849 → 13053,7,,neutral,213.156.73.0/24,187.16.223.133,IGP,28186,187.16.223.133
1646208275,2022-03-02T08:04:35,kherson_dark_2022,Mariupol,AS6849,28186 → 7738 → 52320 → 6461 → 174 → 6849 → 13053 → 13053 → 13053 → 13053 → 13053 → 13053,12,,neutral,213.156.64.0/19,187.16.219.51,IGP,28186,187.16.219.51
1646208275,2022-03-02T08:04:35,kherson_dark_2022,Mariupol,AS6849,28186 → 7738 → 52320 → 2914 → 174 → 6849 → 13053,7,,neutral,213.156.73.0/24,187.16.219.51,IGP,28186,187.16.219.51
1646208275,2022-03-02T08:04:35,kherson_dark_2022,Mariupol,AS6849,53070 → 2914 → 174 → 6849 → 13053,5,,neutral,213.156.73.0/24,187.16.216.102,IGP,53070,187.16.216.102
1646208275,2022-03-02T08:04:35,kherson_dark_2022,Mariupol,AS6849,53070 → 10429 → 12956 → 174 → 6849 → 13053 → 13053 → 13053 → 13053 → 13053 → 13053,11,,neutral,213.156.64.0/19,187.16.216.102,IGP,53070,187.16.216.102
1646208276,2022-03-02T08:04:36,kherson_dark_2022,Mariupol,AS6849,264479 → 61568 → 26615 → 6762 → 174 → 6849 → 13053,7,,neutral,213.156.73.0/24,187.16.222.156,IGP,264479,187.16.222.156
1646208279,2022-03-02T08:04:39,kherson_dark_2022,Mariupol,AS6849,23106 → 52320 → 6461 → 174 → 6849 → 13053 → 13053 → 13053 → 13053 → 13053 → 13053,11,,neutral,213.156.64.0/19,187.16.217.59,IGP,23106,187.16.217.59
1646208279,2022-03-02T08:04:39,kherson_dark_2022,Mariupol,AS6849,23106 → 52320 → 2914 → 174 → 6849 → 13053,6,,neutral,213.156.73.0/24,187.16.217.59,IGP,23106,187.16.217.59
1646208284,2022-03-02T08:04:44,kherson_dark_2022,Mariupol,AS6849,23106 → 52320 → 6461 → 174 → 6849 → 13053,6,,neutral,213.156.73.0/24,187.16.217.59,IGP,23106,187.16.217.59
