total_packets,duration_s,total_bytes,fwd_bytes,bwd_bytes,fwd_packets,bwd_packets,pkt_size_mean,pkt_size_median,pkt_size_std,pkt_size_max,pkt_size_p95,fwd_pkt_size_mean,bwd_pkt_size_mean,iat_mean,iat_median,iat_std,iat_p95,iat_cv,fwd_iat_mean,bwd_iat_mean,bwd_iat_std,bwd_iat_cv,tcp_ratio,udp_ratio,rtp_ratio,tls_ratio,unique_dst_ips,num_flows,mean_bitrate_bps,bitrate_cv,max_bitrate_bps,byte_asymmetry,fwd_bwd_pkt_ratio,fwd_byte_fraction,pps,filename,category,subcategory,app,is_genai,label
7994,154.84547901153564,3506247,1865036,1641211,4265,3729,438.6098323742807,105.0,499.7470646285484,1304.0,1304.0,437.2886283704572,440.12094395280235,0.019372635932883228,0.0001590251922607422,0.05150068527598423,0.09544882774353027,2.6584242564826535,0.036314605771936126,0.041509234981987095,0.08769539250381066,2.1126718558380086,0.9014260695521641,0.09407055291468601,0.0,0.8950462847135352,30,209,180967.5870967742,0.8035929122345642,985064.0,0.8799889117421862,1.1437382676320729,0.5319180308746075,51.6256596642674,gemini_2025-12-11-15-23_2025-12-11-15-26.pcapng,genai,audio,gemini,1,GenAI
10000,24.093633890151978,7816782,1055755,6761027,4249,5751,781.6782,1304.0,599.6206164273874,1392.0,1304.0,248.47140503647918,1175.626325856373,0.002409604349450143,2.002716064453125e-05,0.014186249523407912,0.00741047859191895,5.887377123404151,0.005618037701551074,0.0041901971982873,0.025598636088685362,6.1091721647727075,0.9269,0.0721,0.0,0.9269,21,137,2501370.24,0.5185126962482456,4699624.0,6.403973459751552,0.7388280299078421,0.1350626127222174,415.0473957391457,grok_2025-12-11-15-27_2025-12-11-15-29.pcapng,genai,audio,grok,1,GenAI
9994,64.60340809822083,3549204,839877,2709327,4492,5502,355.1334800880528,140.0,437.2594201089791,1304.0,1304.0,186.97172751558327,492.4258451472192,0.0064648662161734035,1.9073486328125e-05,0.022277349675304967,0.04279284477233861,3.445910391706617,0.014142093773117525,0.011727341043582896,0.03760588747018162,3.206684902436537,0.33750250150090055,0.6624974984990994,0.6087652591554933,0.3368020812487493,17,110,436825.1076923077,3.3079682018625673,11146072.0,3.225861644026447,0.816430388949473,0.23663813069071263,154.69772097480464,chatgpt_2025-12-11-15-35_2025-12-11-15-37.pcapng,genai,video,chatgpt,1,GenAI
9991,72.09071278572083,7387724,5133593,2254131,5556,4435,739.4378941046942,1120.0,588.4400045853663,1304.0,1304.0,923.972822174226,508.25952649379934,0.0072162875661382206,1.9073486328125e-05,0.020086415488397732,0.04508022069931029,2.783483239034352,0.012977626064036152,0.016212474724490417,0.03526094406872041,2.174926694902139,0.9920928835952357,0.0075067560804724254,0.0,0.9896907216494846,14,67,809613.5890410959,0.7986269514430808,2678664.0,0.43909421724706266,1.2527621195039458,0.6948815359101125,138.5892802821467,gemini_2025-12-11-15-39_2025-12-11-15-41.pcapng,genai,video,gemini,1,GenAI
2155,144.38687801361084,1176257,377979,798278,942,1213,545.8269141531323,212.0,543.0017576291898,1386.0,1304.0,401.2515923566879,658.1022258862325,0.0670319767936912,4.458427429199219e-05,0.3794010474602442,0.19177231788635252,5.660000877311917,0.15343982785718474,0.11836459081951935,0.5523820913257436,4.666784952334334,0.7888631090487239,0.1902552204176334,0.0,0.7781902552204176,19,126,64896.93793103448,3.4523532647727575,2145176.0,2.111963892173904,0.7765869744435284,0.32134048936584436,14.92517900274051,chatgpt_2025-12-11-15-42_2025-12-11-15-44.pcapng,genai,text,chatgpt,1,GenAI
3529,231.7389988899231,1813159,916976,896183,855,2674,513.7883253046189,105.0,548.0164522951075,1396.0,1304.0,1072.4865497076023,335.1469708302169,0.06568565728172424,6.449222564697266e-05,0.6340006019029386,0.08991297483444209,9.652040158230053,0.21643171544934883,0.08669622105870674,0.7278298788302736,8.395174206467665,0.9002550297534713,0.07707565882686314,0.0,0.8540663077359025,1,211,62522.724137931036,2.8903436923704,2029400.0,0.9773243792640156,0.31974569932685115,0.5057339152275118,15.228338850623448,gemini_2025-12-11-15-45_2025-12-11-15-49.pcapng,genai,text,gemini,1,GenAI
9997,36.822433948516846,9444259,747844,8696415,2437,7560,944.7093127938382,1274.0,513.157420961545,1322.0,1294.0,306.8707427164547,1150.3194444444443,0.0036837168816043265,2.09808349609375e-05,0.01715726159419549,0.0185394287109375,4.657595071943528,0.015098293524461818,0.004854504685818889,0.025473679487115174,5.24743122846901,0.11193358007402221,0.8864659397819346,0.0019005701710513153,0.10273081924577374,47,207,2042001.945945946,0.41698631960895394,3708640.0,11.628648488187377,0.32235449735449734,0.07918503717443581,271.4921021781795,instagram_2025-12-11-15-17_2025-12-11-15-20.pcapng,non_genai,human_human_calling,instagram,0,Non-GenAI
9985,141.2832260131836,5193442,3893471,1299971,6475,3510,520.1243865798698,329.0,419.7437071842387,1304.0,1162.7999999999993,601.3082625482625,370.3621082621083,0.014150964143948678,0.00021910667419433594,0.10362440711166615,0.0556334137916565,7.322780699432318,0.021823173619583504,0.0402130379436294,0.18911150173065316,4.702740986536494,0.09123685528292438,0.8879318978467702,0.699549323985979,0.018027040560841263,21,207,292588.28169014084,1.0993412679072743,1467864.0,0.3338848549276468,1.8447293447293447,0.7496898973744195,70.67364103837966,whatsapp_2025-12-11-15-12_2025-12-11-15-15.pcapng,non_genai,human_human_calling,whatsapp,0,Non-GenAI
9998,38.887279987335205,6098330,708225,5390105,4641,5357,609.9549909981996,130.0,580.8651411791229,1314.0,1304.0,152.60180995475113,1006.1797647937278,0.0038898949672236875,2.193450927734375e-05,0.03662890366300156,0.01248841285705559,9.41642485764712,0.008380879307615345,0.007236405305670125,0.05463282750629795,7.549719121383389,0.6208241648329665,0.376375275055011,0.0,0.616123224644929,45,310,1250939.4871794872,0.8187026705249679,3318960.0,7.610723993081295,0.8663431024827328,0.11613425314799297,257.1020653348896,chrome_2025-12-11-15-06_2025-12-11-15-08.pcapng,non_genai,browsing,chrome,0,Non-GenAI
9998,38.92874193191528,6663397,568482,6094915,4503,5495,666.4729945989197,365.0,600.9126131265486,1392.0,1346.0,126.24516988674218,1109.174704276615,0.0038940424059133024,2.8848648071289062e-05,0.015036389881021319,0.019377279281616165,3.861383188377146,0.00864698843445475,0.007071570608891007,0.025977832405622243,3.6735590779452307,0.7739547909581916,0.22234446889377876,0.0,0.7718543708741749,44,330,1366850.6666666667,0.8635120562640888,4800288.0,10.721386077307637,0.8194722474977252,0.08531414232110139,256.8282329155686,safari_2025-12-11-15-09_2025-12-11-15-11.pcapng,non_genai,browsing,safari,0,Non-GenAI
